Neighborhood,all_cast,in_person_cast,vbm_cast,provisional_cast,total_counted,in_person_counted,vbm_counted,total_uncounted,vbm_uncounted,provisional_uncounted
BAYVIEW/HUNTERS POINT,3930,799,3131,112,3854,795,3059,76,72,4
CHINATOWN,4447,1197,3250,98,4367,1185,3182,80,68,12
CIVIC CENTER/DOWNTOWN,6928,2080,4848,267,6808,2055,4753,120,95,25
DIAMOND HEIGHTS,2660,848,1812,55,2633,847,1786,27,26,1
EXCELSIOR (OUTER MISSION),7070,1665,5405,155,6928,1649,5279,142,126,16
HAIGHT ASHBURY,3719,1522,2197,113,3684,1516,2168,35,29,6
INGLESIDE,2735,639,2096,80,2683,634,2049,52,47,5
INNER SUNSET,2420,906,1514,82,2387,898,1489,33,25,8
LAKE MERCED,1842,467,1375,31,1812,464,1348,30,27,3
LAUREL HEIGHTS/ANZA VISTA,2328,681,1647,56,2287,674,1613,41,34,7
MARINA/PACIFIC HEIGHTS,9510,2702,6808,211,9391,2689,6702,119,106,13
MISSION,8098,3339,4759,416,7962,3309,4653,136,106,30
NOE VALLEY,5607,2050,3557,124,5531,2039,3492,76,65,11
NORTH BERNAL HTS,3143,1259,1884,118,3099,1248,1851,44,33,11
NORTH EMBARCADERO,2196,624,1572,53,2166,619,1547,30,25,5
PORTOLA,2579,560,2019,68,2539,557,1982,40,37,3
POTRERO HILL,3598,1118,2480,132,3536,1109,2427,62,53,9
RICHMOND,9399,2940,6459,205,9245,2921,6324,154,135,19
SEA CLIFF/PRESIDIO HEIGHTS,2401,713,1688,58,2366,709,1657,35,31,4
SOUTH BERNAL HEIGHT,3043,1093,1950,84,3004,1090,1914,39,36,3
SOUTH OF MARKET,5286,1146,4140,190,5193,1126,4067,93,73,20
SUNSET,10890,2945,7945,205,10737,2927,7810,153,135,18
UPPER MARKET/EUREKA VALLEY,6671,2327,4344,150,6607,2319,4288,64,56,8
VISITATION VALLEY,1913,335,1578,27,1871,331,1540,42,38,4
WEST OF TWIN PEAKS,11688,3330,8358,184,11503,3314,8189,185,169,16
WESTERN ADDITION,7306,2403,4903,245,7206,2382,4824,100,79,21
TOTAL,131407,39688,91719,3519,129399,39406,89993,2008,1726,282
